MainTerm,SubRole,SubTerm,SrcFragment,ExtractedSeqNum
дерево,вид,есть,"Такие деревья, как высокие каштаны, ели, сосны, желтые и зеленые березы.;_; Такие деревья, как высокие каштаны, ели, сосны, желтые и зеленые березы.;_; деревьями, такими как высокие каштаны, ели, сосны, желтые и зеленые березы.",0;_; 1;_; 0
дерево,вид,сосна,"Такие деревья, как высокие каштаны, ели, сосны, желтые и зеленые березы.",1
дерево,вид,каштан,"Такие деревья, как высокие каштаны, ели, сосны, желтые и зеленые березы.;_; деревьями, такими как высокие каштаны, ели, сосны, желтые и зеленые березы.",2;_; 2
странное дерево,вид,красный каштан,"Такие странные деревья, как красные каштаны, лиственницы, а также хлебные деревья.;_; странным деревьям, таким как красные каштаны, пальмы, а также хлебные деревья.",0;_; 0
странное дерево,вид,хлебное дерево,"Такие странные деревья, как красные каштаны, лиственницы, а также хлебные деревья.",1
дерево,вид,красный каштан,"Такие странные деревья, как красные каштаны, лиственницы, а также хлебные деревья.;_; странным деревьям, таким как красные каштаны, пальмы, а также хлебные деревья.;_; странным деревьям, таким как красные каштаны, пальмы, а также хлебные деревья.",2;_; 1;_; 2
дерево,вид,берёза,"деревьями, такими как высокие каштаны, ели, сосны, желтые и зеленые березы.",1
кокосовая пальма,taxon rank,вид,"видами пальм, как кокосовые пальмы и финики.;_; видами пальм, как кокосовые пальмы и финики.",0;_; 1
финик,taxon rank,вид,"видами пальм, как кокосовые пальмы и финики.",1
пальма,вид,кокосовая пальма,"видами пальм, как кокосовые пальмы и финики.",2
каштановый,вид,высокий каштан,"разновидностям каштанов, таким как высокие каштаны.;_; разновидностям каштанов, таким как высокие каштаны.",0;_; 2
каштан,вид,высокий каштан,"разновидностям каштанов, таким как высокие каштаны.",1
кривая летающая птица,вид,синий зяблик,"Синие зяблики, глупые зяблики, а также и прочие криво летающие птицы !",0
зяблик,вид,синий зяблик,"Синие зяблики, глупые зяблики, а также и прочие криво летающие птицы !",1
птица,вид,синий зяблик,"Синие зяблики, глупые зяблики, а также и прочие криво летающие птицы !;_; Синие зяблики или красные зяблики, также как и другие летающие птицы.",2;_; 2
летающая птица,вид,синий зяблик,"Синие зяблики или красные зяблики, также как и другие летающие птицы.;_; Синие зяблики или красные зяблики, также как и другие летающие птицы.",0;_; 1
пример птиц,экземпляр,зяблик,примерами птиц являлись зяблики.,0
птица,вид,зяблик,примерами птиц являлись зяблики.,1
пример птиц,вид,зяблик,примерами птиц являлись зяблики.,2
пример птиц,экземпляр,ворона,примерами птиц могут являться вороны.,0
пример птиц,вид,ворона,примерами птиц могут являться вороны.,1
ворона,аспект,пример птиц,примерами птиц могут являться вороны.,2
сосна,вид,белая сосна,к соснам обычно также относят сосну канадскую и белую сосну.;_; к соснам обычно также относят сосну канадскую и белую сосну.,0;_; 1
сосна,вид,сосна канадскую,к соснам обычно также относят сосну канадскую и белую сосну.,2
банан,различие,ананас,"к пальмам иногда может относиться банан, а также ананас.;_; к пальмам иногда может относиться банан, а также ананас.",0;_; 1
ананас,различие,банан,"к пальмам иногда может относиться банан, а также ананас.",0
банан,natural product of taxon,пальма,"к пальмам иногда может относиться банан, а также ананас.",2
пальма,вид,веерная пальма,к пальме иногда относится веерная пальма.;_; к пальме иногда относится веерная пальма.,0;_; 1
пальма,различие,веерная пальма,к пальме иногда относится веерная пальма.,2
дерево,часть,лист,"деревья состоят из ствола, листьев, а также ветвей и корней.;_; деревья состоят из ствола, листьев, а также ветвей и корней.",0;_; 1
дерево,часть,корень,"деревья состоят из ствола, листьев, а также ветвей и корней.;_; деревья состоят из ствола, листьев, а также ветвей и корней.",1;_; 2
древесина,часть,кора,ствол формируется из волокон древесины и коры .,0
кора,материал,древесина,ствол формируется из волокон древесины и коры .,1
древесина,вид,кора,ствол формируется из волокон древесины и коры .,2
лист,часть,черенок,"лист, составляющийся из таких частей, как черенок, прожилки и хлоропласты.;_; лист, составляющийся из таких частей, как черенок, прожилки и хлоропласты.",0;_; 1
лист,часть,прожилка,"лист, составляющийся из таких частей, как черенок, прожилки и хлоропласты.",1
черенок,часть,прожилка,"лист, составляющийся из таких частей, как черенок, прожилки и хлоропласты.",2
лиса,часть,хитрый нос,"лиса, состоящая из быстрых лапок, хитрого носа и пушистого хвоста.;_; лиса, состоящая из быстрых лапок, хитрого носа и пушистого хвоста.",0;_; 1
лиса,часть,пушистый хвост,"лиса, состоящая из быстрых лапок, хитрого носа и пушистого хвоста.",1
лиса,часть,лапка,"лиса, состоящая из быстрых лапок, хитрого носа и пушистого хвоста.",2
лесополоса,материал,дерево,"лесополоса, сформированная из деревьев .",0
дерево,вид,лесополоса,"лесополоса, сформированная из деревьев .",1
лесополоса,часть,дерево,"лесополоса, сформированная из деревьев .",2
овощной суп,часть,картофель,"в состав овощного супа входят морковь, лук, капуста и картофель.;_; в состав овощного супа входят морковь, лук, капуста и картофель.",0;_; 2
овощной суп,часть,морковь,"в состав овощного супа входят морковь, лук, капуста и картофель.;_; в состав овощного супа входят морковь, лук, капуста и картофель.",1;_; 2
морковь,часть,лук,"в состав здорового режима дня входят такие компоненты, как морковь, лук, капуста и картофель .",0
картофель,natural product of taxon,лук,"в состав здорового режима дня входят такие компоненты, как морковь, лук, капуста и картофель .",1
лук,часть,морковь,"в состав здорового режима дня входят такие компоненты, как морковь, лук, капуста и картофель .",2
дерево,аспект,плотность,"дерево, имеющее такие характеристики, как плотность, твердость, влажность и воспламеняемость.;_; дерево, имеющее такие характеристики, как плотность, твердость, влажность и воспламеняемость.",0;_; 2
дерево,параметр,плотность,"дерево, имеющее такие характеристики, как плотность, твердость, влажность и воспламеняемость.",1
дерево,аспект,влажность,"дерево, имеющее такие характеристики, как плотность, твердость, влажность и воспламеняемость.",2
суп,параметр,температура,"супы, характеризующиеся своим вкусом, температурой.;_; супы, характеризующиеся своим вкусом, температурой.",0;_; 1
суп,параметр,вкус,"супы, характеризующиеся своим вкусом, температурой.",2
берёза,часть,кора,"береза, характеризуемая своей пестрой корой.",0
берёза,часть,пёстрая кора,"береза, характеризуемая своей пестрой корой.",1
пёстрая,вид,кора,"береза, характеризуемая своей пестрой корой.",2
свойство,экземпляр,продолжительность жизни,"сосны, имеющие свойство долгой продолжительности жизни.",0
сосна,параметр,продолжительность жизни,"сосны, имеющие свойство долгой продолжительности жизни.",1
свойство,экземпляр,долгая продолжительность жизни,"сосны, имеющие свойство долгой продолжительности жизни.",2
повар,вид,готовка супа,"готовка супа, осуществляемая поваром.",0
повар,область профессии,готовка супа,"готовка супа, осуществляемая поваром.",1
суп,изготовитель,повар,"готовка супа, осуществляемая поваром.",2
почва,часть,дерево,"осушение почвы, производящееся деревьями.",0
почва,аспект,осушение почвы,"осушение почвы, производящееся деревьями.",1
осушение почвы,местоположение,почва,"осушение почвы, производящееся деревьями.",2
тень,материал,дерево,"тень, производимая деревьями.;_; тень, производимая деревьями.",0;_; 2
тень,natural product of taxon,дерево,"тень, производимая деревьями.",1
лесоруб,область профессии,вырубка,"вырубкой деревьев, выполняемой лесорубами.;_; вырубкой деревьев, выполняемой лесорубами.",0;_; 2
лесоруб,область профессии,вырубка деревьев,"вырубкой деревьев, выполняемой лесорубами.",1
пара,часть,давление,"давление и пар, создаваемые нагревом воды.",0
давление,вид,пара,"давление и пар, создаваемые нагревом воды.",1
тень,вид,прохлада,"прохлада и тень, создаваемая пальмами и березами .",0
прохлада,материал,пальма,"прохлада и тень, создаваемая пальмами и березами .",1
прохлада и тень,материал,пальма,"прохлада и тень, создаваемая пальмами и березами .",2
вода,аспект,кипение,пузыри появляются вследствие кипения воды.,0
кипение,материал,вода,пузыри появляются вследствие кипения воды.,1
пузырь,часть,кипение воды,пузыри появляются вследствие кипения воды.,2
дождь,следствие,влажность,причиной дождя является влажность и холод.,0
влажность,следствие,дождь,причиной дождя является влажность и холод.,1
дождь,следствие,холод,причиной дождя является влажность и холод.,2
слабость,следствие,низкое давление,следствием низкого давления является слабость.,0
слабость,вид,низкое давление,следствием низкого давления является слабость.,1
низкое давление,вид,слабость,следствием низкого давления является слабость.,2
головная боль,следствие,высокое давление,головная боль возникает вследствие высокого давления.,0
головная боль,вид,высокое давление,головная боль возникает вследствие высокого давления.,1
высокое давление,symptoms and signs,головная боль,головная боль возникает вследствие высокого давления.,2
кальциевая осадка,часть,кальций,кальциевый осадок возникает из-за высокого содержания кальция в жидкости.,0
кальциевая осадка,следствие,кальций,кальциевый осадок возникает из-за высокого содержания кальция в жидкости.,1
осадка,вид,кальциевая осадка,кальциевый осадок возникает из-за высокого содержания кальция в жидкости.,2
суп,метод изготовления,готовка супа,суп появляется по причине готовки супа.,0
суп,изготовитель,готовка супа,суп появляется по причине готовки супа.,1
суп,метод изготовления,готовка,суп появляется по причине готовки супа.,2
